id1,id2
11,10089
11,10090
11,10120
11,10136
11,10377
11,10458
11,10694
11,10807
11,11264
11,11565
11,11691
11,11770
11,11789
11,11799
11,11800
11,11801
11,11802
11,11836
11,11962
11,11983
11,12024
11,12264
11,12297
11,12528
11,12581
11,12817
11,13212
11,13261
11,13328
11,13393
11,13484
11,13563
11,13947
11,14131
11,14159
11,14265
11,14319
11,14426
12,783
12,787
12,848
12,1606
12,1783
12,2359
12,2543
12,2838
12,3595
12,3808
12,4168
12,4334
12,4454
12,5964
12,6790
12,6991
12,7041
12,7648
12,8200
12,8933
12,9308
12,10426
12,11036
12,11139
12,11419
12,12600
12,12885
12,13501
13,1021
13,1124
13,1449
13,1574
13,6624
13,7885
13,8375
13,9199
13,9806
13,10182
13,12923
14,405
14,2108
14,2162
14,2483
14,2772
14,2773
14,5242
14,5708
14,7159
14,8505
14,10414
14,11027
14,11028
14,11384
14,11449
14,12161
14,13456
14,14434
14,14435
14,14722
15,1184
15,3054
15,3291
15,3570
15,3674
15,3935
15,5333
15,6147
15,8041
15,8987
15,9371
15,12715
15,12955
15,12960
15,13089
15,13983
15,14633
16,762
16,994
16,1347
16,1647
16,1693
16,2227
16,2416
16,2555
16,2702
16,2723
16,2834
16,2837
16,3766
16,4054
16,4344
16,4369
16,4373
16,4437
16,4533
16,4916
16,5227
16,5496
16,5631
16,6437
16,6490
16,6533
16,6535
16,7354
16,8360
16,8779
16,8794
16,8820
16,8821
16,9488
16,10016
16,10017
16,10914
16,11581
16,11582
16,12214
16,12744
16,13070
16,13248
16,13399
16,13609
16,13649
16,13964
17,736
17,1607
17,2694
17,3077
17,6618
17,7102
17,8465
17,9146
17,10068
18,1337
18,5734
18,5826
18,8413
18,8476
18,12102
18,12249
18,12717
18,12868
18,12991
18,13259
19,20
19,249
19,1346
19,1507
19,1683
19,2002
19,2534
19,2567
19,3036
19,3897
19,4064
19,4478
19,4722
19,4868
19,4969
19,5240
19,5439
19,5450
19,5807
19,6018
19,6446
19,6697
19,6844
19,6851
19,7009
19,7044
19,7271
19,7360
19,7395
19,7622
19,7924
19,8003
19,8149
19,8632
19,8642
19,9001
19,10230
19,10358
19,10560
19,10879
19,10880
19,10992
19,11090
19,11468
19,11756
19,11757
19,11763
19,12841
19,13325
19,14075
19,14076
20,249
20,1346
20,1507
20,1683
20,2002
20,2534
20,2567
20,3036
20,3897
20,4064
20,4478
20,4722
20,4868
20,4969
20,5240
20,5439
20,5450
20,5807
20,6018
20,6446
20,6697
20,6844
20,6851
20,7009
20,7044
20,7271
20,7360
20,7395
20,7622
20,7637
20,7924
20,8003
20,8149
20,8632
20,8642
20,9001
20,10230
20,10358
20,10560
20,10879
20,10880
20,10992
20,11090
20,11468
20,11756
20,11757
20,11763
20,12841
20,13325
20,14075
20,14076
21,1806
21,2626
21,2627
21,3423
21,7504
21,7716
21,8088
21,10395
21,12131
21,12357
21,13365
21,13366
22,3251
22,3362
22,3523
22,6067
22,6492
22,6980
22,7560
22,7760
22,8870
22,10025
22,10535
22,12241
22,12287
22,12529
22,13939
23,215
23,424
23,554
23,601
23,622
23,1325
23,2006
23,2031
23,2032
23,2181
23,2295
23,2644
23,3413
23,3466
23,3623
23,3645
23,3704
23,4281
23,4453
23,4631
23,4632
23,4721
23,5047
23,5060
23,5106
23,5587
23,6008
23,6294
23,6465
23,6732
23,6772
23,7040
23,7091
23,7399
23,7509
23,7572
23,7647
23,7992
23,8231
23,8322
23,8330
23,8471
23,8920
23,9285
23,9575
23,9881
23,10147
23,10359
23,10799
23,11205
23,11459
23,11520
23,11651
23,11689
23,11808
23,11812
23,12091
23,12099
23,12245
23,12246
23,12363
23,12364
23,12444
23,12464
23,12658
23,13372
23,14255
23,14320
23,14427
24,336
24,430
24,785
24,1340
24,1639
24,1790
24,1977
24,2488
24,2520
24,3208
24,3216
24,3803
24,4399
24,4409
24,5459
24,5946
24,6079
24,6998
24,8009
24,8170
24,8398
24,8496
24,8540
24,8725
24,8930
24,9237
24,9238
24,9587
24,10370
24,11115
24,12259
24,14054
24,14091
25,26
25,3538
25,4474
25,4873
25,6009
25,6462
25,8479
25,8837
25,8844
25,9803
25,10312
25,13327
25,13658
25,13662
26,3538
26,4474
26,4873
26,6009
26,6462
26,8479
26,8837
26,8844
26,9803
26,10312
26,13327
26,13658
26,13662
27,701
27,1106
27,2188
27,3933
27,4075
27,4220
27,5319
27,6329
27,6360
27,6773
27,6976
27,7573
27,7644
27,8855
27,9314
27,9617
27,10878
27,10882
27,11104
27,11712
27,11838
27,12802
27,13322
27,13736
28,942
28,1906
28,4818
28,6896
28,7583
28,7709
28,8135
28,8589
28,9049
28,9941
28,11153
28,12630
28,14629
29,1765
29,2511
29,3532
29,3557
29,3697
29,4112
29,4513
29,4582
29,4584
29,5716
29,6140
29,6255
29,6258
29,6259
29,6575
29,6579
29,7867
29,8015
